State,Reading Score 2019,Reading Score 2003,Reading Score Pct,Reading Score Pct Rank,Reading Score 2019 Rank
California,259,251,0.03116333177295494,1,39
Hawaii,258,251,0.027356728301910938,2,42
Florida,263,257,0.023518107097157515,3,22
Nevada,258,252,0.0228494385000797,4,43
Georgia,262,258,0.01812577173481933,5,31
Tennessee,262,258,0.016870240080561594,6,30
Arizona,259,255,0.01629417219449847,7,37
Louisiana,257,253,0.015677833139059683,8,44
Utah,267,264,0.011783879922258933,9,6
Maryland,264,262,0.01067788835849881,10,17
New Jersey,270,268,0.009600878608909014,11,2
Connecticut,270,267,0.009359508907481162,12,3
Idaho,266,264,0.007725917787407166,13,10
Washington,266,264,0.006741058504638575,14,11
Mississippi,256,255,0.005370948363251804,15,45
Rhode Island,262,261,0.004855075466430714,16,33
Indiana,266,265,0.004238414366996235,17,12
South Carolina,259,258,0.0034388526221129645,18,38
Wisconsin,267,266,0.003434550754982002,19,7
North Carolina,263,262,0.003128022888091664,20,29
Arkansas,259,258,0.003041340344806631,21,40
Ohio,267,267,0.0018117081725057549,22,9
Alabama,253,253,8.927111738279425e-4,23,48
Massachusetts,273,273,7.562292820639804e-4,24,1
New Mexico,252,252,3.991666744833644e-4,25,50
Pennsylvania,264,264,-3.284930712407208e-4,26,18
Colorado,267,268,-0.0010647901227778256,27,8
Oregon,264,264,-0.0011510248799008194,28,21
Illinois,265,266,-0.006431127300255857,29,15
Michigan,263,264,-0.0068023739770766145,30,28
Vermont,268,271,-0.007534874388324786,31,4
Nebraska,264,266,-0.008728728891105875,32,19
Wyoming,265,267,-0.008836670030823446,33,16
New Hampshire,268,271,-0.010282917449183082,34,5
Texas,256,259,-0.011727691992719946,35,46
Maine,265,268,-0.011756751473698146,36,13
Kansas,263,266,-0.012001878564058543,37,26
Kentucky,263,266,-0.012126235163685162,38,25
Oklahoma,258,262,-0.013460303142335817,39,41
New York,262,265,-0.013483785593769948,40,35
Minnesota,264,268,-0.014560457949935435,41,20
West Virginia,256,260,-0.015179710425442194,42,47
Missouri,263,267,-0.015228882817175715,43,23
Alaska,252,256,-0.015695744344703444,44,49
Delaware,260,265,-0.01834428002202393,45,36
Montana,265,270,-0.01853636217485588,46,14
Iowa,262,268,-0.019348435689927723,47,32
Virginia,262,268,-0.023158911843451202,48,34
North Dakota,263,270,-0.024089057831274796,49,24
South Dakota,263,270,-0.026670266064814485,50,27
United States,263,263,-5.340493592871365e-4,NA,NA
