State,Total Revenue - Per Pupil 2020,Total Revenue - Per Pupil 2002,Percent Change
New York,30723.46,18053.70248440529,0.701781672016518
New Hampshire,20130.73,12939.42826879524,0.5557665749844081
Illinois,20196.8,13053.533185733668,0.5472286094980994
North Dakota,16624.06,10991.89039833173,0.5123931732910183
Washington,17685.06,11776.228132240178,0.5017592901060581
Pennsylvania,21523.73,14434.892912912082,0.4910903828560389
Vermont,23575.04,15875.023459115991,0.4850396952618292
Connecticut,24874.65,17158.046754460604,0.4497366953224615
California,16934.19,12471.36995727383,0.35784521331782515
Delaware,20032.22,14896.48210233929,0.34476179425303455
Alaska,19782.95,14957.491122089335,0.32261151542884026
Louisiana,13752.79,10411.431090423492,0.3209317605386559
Maryland,18580.92,14135.479415984943,0.314488136779286
Rhode Island,19574.23,14992.565893443858,0.30559572918466693
Wyoming,19384.14,14902.67686434468,0.3007153128561366
Maine,17583.78,13520.725096974606,0.3005056958028487
Colorado,14495.98,11321.700105098838,0.2803713104422889
Oregon,15844.13,12425.99946258634,0.2750789220380516
Hawaii,18756.38,14785.380706373173,0.26857605985858357
New Jersey,24010.01,18968.5345405578,0.26578096735215406
Massachusetts,21132.03,16754.593023853206,0.261267878599899
New Mexico,14394.16,11437.465622574842,0.25850957502240224
United States,16062.11,12851.589720359849,0.24981503063033172
Minnesota,16761.89,13421.39230481826,0.24889352902548745
Kentucky,12715.18,10194.282300127355,0.24728545135945001
Montana,13769.47,11050.993337464733,0.24599387399132455
Kansas,14588.47,11717.515073233391,0.2450139734255432
Mississippi,10773.54,8878.176954073304,0.21348561261297072
Iowa,14310.07,12016.668650076394,0.19085167584353968
South Carolina,14323.73,12038.112057018125,0.1898651492988368
Tennessee,10971.38,9267.652760155723,0.1838358950142247
South Dakota,12410.44,10532.727129689854,0.178274139943986
Arkansas,11828.05,10081.303703553544,0.17326591359714194
Nebraska,14717.12,12544.595220978557,0.1731841275666106
Utah,10026.57,8606.531586135352,0.1649954339506814
Texas,13345.9,11473.34903419114,0.16320875101320165
Virginia,13998.09,12129.44508658476,0.15405856575268828
Alabama,11729.18,10192.072979412145,0.150813973142931
Ohio,16064.04,14008.104134750587,0.14676760291559754
West Virginia,14162.86,12350.738158222497,0.14672174396079196
Nevada,11755.14,10472.050230047322,0.12252517336778279
Michigan,15967.41,14518.442779959129,0.09980183426014433
Oklahoma,10956.11,10140.695442780037,0.08041012195080977
Florida,11526.14,10707.205706172645,0.07648440837885873
Wisconsin,15014.71,14090.758721507806,0.0655714356304955
Georgia,13604.82,12802.739184545791,0.06264915686343131
Missouri,12402.1,11702.07870823628,0.059820251531125246
Arizona,10790.4,10353.411151641081,0.04220723411429983
Idaho,9802.01,9517.999121198689,0.029839347029225527
Indiana,13368.37,13116.43384609608,0.019207671601904508
North Carolina,10790.19,10805.96089814201,-0.001459462817852808
