State,Total Benefits - Per Pupil (2002),Total Benefits - Per Pupil (2020),Percent Change
Hawaii,1392.2041706890168,5014.26,2.601670003271423
Illinois,2024.3298153228568,6062.69,1.9949121699978876
Pennsylvania,2067.6787093559064,5656.42,1.7356377827975056
New Hampshire,1918.8889011891692,4639.22,1.417659509690735
New York,2928.6784280816314,7068.53,1.413556207545152
Connecticut,2599.5185215248794,6223.91,1.3942549162331224
New Jersey,2678.880787216299,6232.92,1.3266880817331197
Vermont,2447.2197922222226,5617.95,1.2956458663235
Alaska,2365.850365881038,5304,1.2419000273606908
Kentucky,1610.407081326397,3536.07,1.1957615816539682
California,1791.3836599127435,3931.98,1.1949401951067942
Washington,1597.1222770257955,3482.59,1.1805406198987933
Colorado,1213.3502727898315,2493.04,1.0546746112050598
North Dakota,1632.8179685813247,3293.57,1.0171078854929685
Louisiana,1634.2186490347578,3242.54,0.9841531008810773
Kansas,1363.959521545564,2622.59,0.922777002229674
Delaware,2591.8075590286608,4958.4,0.9131049999168432
Massachusetts,2575.201553652909,4768.6,0.851738553526332
Rhode Island,2731.355764203675,4901.18,0.7944128934917185
North Carolina,1305.8962627491305,2339.55,0.7915282145572997
Wyoming,2503.449170424986,4483.9,0.7910888916665371
United States,1907.1058573747227,3405.99,0.7859470080431747
Virginia,1872.0599660295488,3302.62,0.7641635737793833
Maryland,2356.9986430155286,4035.12,0.7119738324658065
Arizona,1018.3813296738293,1709.65,0.6787915785411862
Nebraska,1818.747468771048,2855.71,0.5701520134236346
Oregon,2629.741451308748,4123.69,0.5680971214671144
Tennessee,1272.9586120864435,1992.39,0.5651647909702047
Minnesota,1920.4917417080462,2980.94,0.552175380534994
Michigan,2775.70101855927,4286.1,0.5441504583316774
Missouri,1473.0970768759403,2266.8,0.5387987903738833
Mississippi,1315.1956257595516,2020.2,0.5360452547378984
Nevada,1622.6955253044534,2486.98,0.5326227016823675
South Carolina,1824.5234706408748,2771.65,0.5191089863187353
Oklahoma,1248.7860442612184,1864.15,0.4927697250995713
Utah,1523.853693307043,2255.42,0.4800764731588658
New Mexico,1578.7401510750717,2318.99,0.4688864398747581
Georgia,2061.599467387914,2962.71,0.43709292074750605
Ohio,2240.4100452730754,3173.68,0.4165621184818298
Alabama,1621.0204847622035,2280.98,0.4071259564215868
Iowa,1914.8745798896396,2596.22,0.3558172567884985
Arkansas,1301.5209413327368,1753.37,0.347170025712054
Montana,1658.5933769254264,2227.15,0.34279446124915824
Maine,2791.469503663897,3742.88,0.3408278310357127
South Dakota,1388.6663695437478,1815.38,0.3072830449522954
Texas,1044.2144980366295,1295.28,0.24043479805675272
Indiana,2695.8766727182638,3251.8,0.20621244766408275
Florida,1514.5254502872729,1790.51,0.18222509873332182
West Virginia,2900.2749388867583,3390.05,0.16887194194810973
Idaho,1652.2830948826409,1800.16,0.0894985281731413
Wisconsin,2989.514167775582,3106.44,0.039111984644454756
