State,Total Debt - Per Pupil (2002),Total Debt - Per Pupil (2020),Percent Change
Indiana,2124.8611278671915,10480.58,3.932359984635692
Montana,2387.9002530191015,10515.46,3.4036429020454078
Rhode Island,1728.5118795596795,6606.91,2.8223110168516987
California,4292.551309599148,15537.93,2.6197424047683615
North Dakota,2287.9754206710986,7444.41,2.253710652982644
Delaware,2449.1114328345907,6138.72,1.5065090618988588
Arkansas,4972.213449621661,11467.1,1.306236471178151
Iowa,3839.7416430140797,8703.99,1.266816574973423
Oregon,8008.311072477397,16706.13,1.0860990349656716
Nebraska,5539.878913388235,11547.52,1.084435450762848
Maryland,3208.525718674737,6144.77,0.9151381471668745
Kentucky,4673.406432890849,8868.03,0.8975516312015828
Texas,10051.181853802396,19008.980000000003,0.8912183936666951
Alabama,3888.606618832814,7109.08,0.8281818391117763
New Mexico,4035.1149062609697,7335.86,0.8180052291986837
Maine,3985.8167303019986,7053.62,0.769679962045209
Ohio,5310.167319025225,9189.58,0.7305631721011212
South Dakota,5189.737680039338,8819.17,0.6993479331181054
South Carolina,7911.404201106378,12869.61,0.6267162785337446
Oklahoma,2428.9098662948713,3836.21,0.5793957829533891
United States,6932.386324175418,10722.9,0.5467833872162988
Kansas,8718.874822503483,13473.539999999999,0.5453301342536412
Utah,4129.668056870034,6186.88,0.4981543104191217
Washington,9360.545310227211,13817.72,0.47616613584498513
Missouri,5785.373432860547,8406.09,0.4529900442128685
Minnesota,12867.675885567318,17854.530000000002,0.3875489372580525
Illinois,8787.334884665606,11722.869999999999,0.33406432710981204
Idaho,4030.580744793155,5257.12,0.3043083200333676
Colorado,9735.53779162104,12160.16,0.24904861552340019
New York,10206.772904170855,12488.029999999999,0.22350424735098584
Tennessee,5039.474991395794,6164.53,0.2232484555484613
Michigan,12831.142673740662,15415.85,0.20144015166700813
North Carolina,4832.260924315759,5728.12,0.18539128778752634
Louisiana,4441.312237756535,5182.3,0.166839826289215
Mississippi,4012.111978814384,4453.9,0.11011358195345489
Pennsylvania,14441.087674917477,15724.539999999999,0.08887504556265058
Alaska,6991.80694341126,7139.62,0.021140895019710282
Wisconsin,9041.175726839816,9185.59,0.01597295280208666
West Virginia,1089.8304728035864,1071.64,-0.01669110311881017
Vermont,3656.974503848087,3541.27,-0.03163940676270394
Florida,5142.2300646600115,4940.46,-0.03923785247312772
Arizona,6969.583776217102,6549.54,-0.06026812930356806
Connecticut,5938.177562326814,5475.91,-0.07784670590848408
Virginia,6326.368207993195,5558.65,-0.12135212222127767
New Hampshire,5361.313815582541,4493.11,-0.16193863024005906
Massachusetts,7976.571942202697,6670.73,-0.1637096677200024
Georgia,3799.9738701403226,2989.45,-0.21329722199126389
New Jersey,6935.3609651383795,5420.71,-0.21839540476004016
Nevada,13152.389457735753,10045.92,-0.23619050117989338
Wyoming,2301.1158249249547,462.57,-0.79898013173018545
Hawaii,0,0,NA
